prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size_sqft,furnished,facilities,additional_facilities,region
Villa Wangsamas,2010,2000,Kuala Lumpur - Wangsa Maju,Condominium,3,1,3,1267,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
The Capers,2017,2100,Kuala Lumpur - Sentul,Service Residence,2,0,2,999,Partially Furnished,"Playground, Parking, Gymnasium, Jogging Track, Security, Swimming Pool, Lift, Club house, Minimart, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Central Residence @ Sg Besi,2015,1750,Kuala Lumpur - Sungai Besi,Condominium,3,2,2,1121,Fully Furnished,"Playground, Barbeque area, Sauna, Multipurpose hall, Security, Swimming Pool, Gymnasium, Lift, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Unio Residence,2021,2000,Kuala Lumpur - Kepong,Apartment,2,1,2,872,Fully Furnished,"Minimart, Swimming Pool, Tennis Court, Jogging Track, Security, Playground, Parking, Gymnasium, Barbeque area, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Dahlia Apartment (Ampang),2017,1300,Kuala Lumpur - Ampang,Apartment,3,0,2,860,Not Furnished,"Security, Playground, Lift",Cooking Allowed,Kuala Lumpur
1 Petaling,2012,1100,Kuala Lumpur - Sungai Besi,Condominium,3,1,2,904,Partially Furnished,"Jogging Track, Swimming Pool, Playground, Security, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Residensi Seri Wahyu @ Jalan Kuching KL,2017,1300,Kuala Lumpur - KL City,Apartment,3,1,2,835,Fully Furnished,"Jogging Track, Lift, Gymnasium, Squash Court, Minimart, Security, Swimming Pool, Parking, Playground, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Pangsapuri Seroja,2017,850,Kuala Lumpur - Jinjang,Apartment,3,0,2,750,Partially Furnished,Lift,"Near KTM/LRT, Cooking Allowed",Kuala Lumpur
Endah Villa,2017,1400,Kuala Lumpur - Sri Petaling,Condominium,3,1,2,1129,Fully Furnished,"Security, Squash Court, Parking, Swimming Pool, Tennis Court, Playground, Minimart, Barbeque area, Lift, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Unio Residence,2021,1900,Kuala Lumpur - Kepong,Service Residence,2,1,2,1132,Partially Furnished,"Minimart, Playground, Swimming Pool, Parking, Security, Gymnasium, Tennis Court, Lift, Barbeque area, Jogging Track, Multipurpose hall",Air-Cond,Kuala Lumpur
Rica Residence Sentul,2021,1700,Kuala Lumpur - Sentul,Condominium,2,0,1,700,Partially Furnished,"Parking, Security, Swimming Pool, Minimart, Playground, Squash Court, Lift, Gymnasium, Tennis Court, Jogging Track","Near KTM/LRT, Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
PV9 Residences @ Taman Melati,2022,2100,Kuala Lumpur - Setapak,Service Residence,3,2,2,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur
Suasana Lumayan,2015,1550,Kuala Lumpur - Cheras,Condominium,4,1,2,1142,Partially Furnished,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Plaza Prima Setapak,2006,1400,Kuala Lumpur - Setapak,Condominium,4,2,2,1300,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track","Cooking Allowed, Washing Machine",Kuala Lumpur
Residensi Vista Wirajaya,2017,1800,Kuala Lumpur - Setapak,Apartment,3,1,2,884,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall","Near KTM/LRT, Washing Machine, Internet, Cooking Allowed",Kuala Lumpur
One Maxim,2020,1300,Kuala Lumpur - Sentul,Service Residence,3,1,2,819,Partially Furnished,"Parking, Sauna, Barbeque area, Jogging Track, Security, Playground, Swimming Pool, Gymnasium, Multipurpose hall",Cooking Allowed,Kuala Lumpur
M Centura,2021,2500,Kuala Lumpur - Sentul,Service Residence,3,1,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
PV9 Residences @ Taman Melati,2022,2300,Kuala Lumpur - Setapak,Service Residence,3,2,2,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Majestic Maxim,2021,1350,Kuala Lumpur - Cheras,Service Residence,2,1,1,650,Partially Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Playground, Swimming Pool, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Residensi KepongMas,2020,1100,Kuala Lumpur - Kepong,Apartment,3,2,2,800,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Bayu Sentul Condominium,2015,1700,Kuala Lumpur - Sentul,Condominium,3,2,2,1300,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Cooking Allowed, Washing Machine",Kuala Lumpur
Vista Angkasa,2017,1800,Kuala Lumpur - Bangsar South,Apartment,3,1,2,1200,Partially Furnished,"Parking, Security, Swimming Pool, Jogging Track, Minimart, Lift, Playground, Multipurpose hall, Barbeque area, Tennis Court","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
The Nest Residence @ Genting Klang,2017,1600,Kuala Lumpur - Setapak,Service Residence,3,1,2,770,Fully Furnished,"Parking, Playground, Gymnasium, Jogging Track, Lift, Minimart, Tennis Court, Squash Court, Security, Swimming Pool",Air-Cond,Kuala Lumpur
Sky Awani 3 Residence Setpak,2017,1600,Kuala Lumpur - Setapak,Service Residence,3,2,2,800,Fully Furnished,"Parking, Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Barbeque area","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
M Centura,2021,1650,Kuala Lumpur - Sentul,Service Residence,3,2,2,850,Partially Furnished,Parking,"Cooking Allowed, Air-Cond",Kuala Lumpur
M Centura,2021,1200,Kuala Lumpur - Sentul,Service Residence,2,1,1,646,Not Furnished,"Parking, Gymnasium, Security, Lift, Swimming Pool, Barbeque area, Playground, Jogging Track",None,Kuala Lumpur
